site_id,year,security_incidents_count,percent_https_pages,avg_patch_time_days,csp_present,malware_detections,phishing_reports,whois_age_years,ssl_grade,cluster,security_index_pca,security_index_mean,pred_best_rf,pred_mean,pred_sd
site001,2008,30,60.94754572957754,28.632276758085936,0,10,7,14.71190826082602,7.198849669657648,2,0.40750997478586093,0.5579851417495506,0.3713971550165713,0.42471563357416453,0.01634400460268093
site001,2008,30,60.94754572957754,28.632276758085936,0,10,7,14.71190826082602,7.198849669657648,2,0.40750997478586093,0.5579851417495506,0.3713971550165713,0.3915648640412017,0.01782319845531016
site001,2008,30,60.94754572957754,28.632276758085936,0,10,7,14.71190826082602,7.198849669657648,2,0.40750997478586093,0.5579851417495506,0.3713971550165713,0.45069154293739,0.018133953546093023
site001,2009,14,99.0355877391994,15.1990158976987,0,2,12,14.608168106526136,8.563026457559317,3,0.5051577680130338,0.5539581619181497,0.5343953235377487,0.42471563357416453,0.01634400460268093
site001,2009,14,99.0355877391994,15.1990158976987,0,2,12,14.608168106526136,8.563026457559317,3,0.5051577680130338,0.5539581619181497,0.5343953235377487,0.3915648640412017,0.01782319845531016
site001,2009,14,99.0355877391994,15.1990158976987,0,2,12,14.608168106526136,8.563026457559317,3,0.5051577680130338,0.5539581619181497,0.5343953235377487,0.45069154293739,0.018133953546093023
site001,2010,50,79.60896792821586,3.4153330188710243,0,0,6,11.227718504611405,7.176588358124718,3,0.3950474177141034,0.3920149880874551,0.41422639622531493,0.42471563357416453,0.01634400460268093
site001,2010,50,79.60896792821586,3.4153330188710243,0,0,6,11.227718504611405,7.176588358124718,3,0.3950474177141034,0.3920149880874551,0.41422639622531493,0.3915648640412017,0.01782319845531016
site001,2010,50,79.60896792821586,3.4153330188710243,0,0,6,11.227718504611405,7.176588358124718,3,0.3950474177141034,0.3920149880874551,0.41422639622531493,0.45069154293739,0.018133953546093023
site001,2011,13,75.56681292131543,8.537911970866844,0,9,3,6.48579982528463,8.326859443914145,3,0.4589839266140053,0.38270569219670114,0.4677790203370577,0.42471563357416453,0.01634400460268093
site001,2011,13,75.56681292131543,8.537911970866844,0,9,3,6.48579982528463,8.326859443914145,3,0.4589839266140053,0.38270569219670114,0.4677790203370577,0.3915648640412017,0.01782319845531016
site001,2011,13,75.56681292131543,8.537911970866844,0,9,3,6.48579982528463,8.326859443914145,3,0.4589839266140053,0.38270569219670114,0.4677790203370577,0.45069154293739,0.018133953546093023
site001,2012,2,76.70219839550555,26.37055214261636,1,3,8,10.288473201915622,7.615320822224021,1,0.8410753580607829,0.5439943121224659,0.8282968730323372,0.42471563357416453,0.01634400460268093
site001,2012,2,76.70219839550555,26.37055214261636,1,3,8,10.288473201915622,7.615320822224021,1,0.8410753580607829,0.5439943121224659,0.8282968730323372,0.3915648640412017,0.01782319845531016
site001,2012,2,76.70219839550555,26.37055214261636,1,3,8,10.288473201915622,7.615320822224021,1,0.8410753580607829,0.5439943121224659,0.8282968730323372,0.45069154293739,0.018133953546093023
site001,2013,41,63.71703281998634,25.709714954951775,0,9,5,4.601252434775233,9.51792907086201,2,0.41446596610578657,0.5195005798621795,0.3662473167583602,0.42471563357416453,0.01634400460268093
site001,2013,41,63.71703281998634,25.709714954951775,0,9,5,4.601252434775233,9.51792907086201,2,0.41446596610578657,0.5195005798621795,0.3662473167583602,0.3915648640412017,0.01782319845531016
site001,2013,41,63.71703281998634,25.709714954951775,0,9,5,4.601252434775233,9.51792907086201,2,0.41446596610578657,0.5195005798621795,0.3662473167583602,0.45069154293739,0.018133953546093023
site001,2014,49,66.47236840799451,25.444235272705555,0,3,8,5.337178566958755,9.689355401787909,2,0.5093854778510467,0.5078877189466936,0.5198780572178648,0.42471563357416453,0.01634400460268093
site001,2014,49,66.47236840799451,25.444235272705555,0,3,8,5.337178566958755,9.689355401787909,2,0.5093854778510467,0.5078877189466936,0.5198780572178648,0.3915648640412017,0.01782319845531016
site001,2014,49,66.47236840799451,25.444235272705555,0,3,8,5.337178566958755,9.689355401787909,2,0.5093854778510467,0.5078877189466936,0.5198780572178648,0.45069154293739,0.018133953546093023
site001,2015,42,76.21665980666876,28.460206564283,0,9,1,12.766389353200791,9.805500144138932,2,0.4223375208309232,0.6203290294167959,0.3847642792932101,0.42471563357416453,0.01634400460268093
